param: ARCS:	c	lb	ub	i	j:=
	1	2	0	10	1	2
	2	2	0	10	1	6
	3	2	0	10	2	1
	4	3	0	10	2	3
	5	2	0	10	3	4
	6	1	0	10	3	3p
	7	3	0	10	3	8
	8	1	0	10	3p	2
	9	1	0	10	4	5
	10	3	0	10	4	3
	11	2	0	10	4	9
	12	1	0	10	5	5p
	13	1	0	10	5p	4
	14	1	0	10	6	7
	15	0.5	0	10	6	6p
	16	0.5	0	10	6p	11
	17	1	0	10	7	6
	18	2	0	10	7	8
	19	1	0	10	7	2
	20	2	0	10	8	3
	21	4	0	10	8	9
	22	2	0	10	8	7
	23	4	0	10   8   13
	24	2	0	10	9	8
	25	1	0	10	9	10
	26	1	0	10	9	14
	27	4	0	10	10	9
	28	4	0	10	10	5
	29	2	0	10	11	12
	30	3	0	10	11	16
	31	1.5	0	10	12	12p
	32	4	0	10	12	13
	33  1.5	0	10	12p	7
	34	6	0	10	13	8
	35	1	0	10	13	14
	36	7	0	10	13	18
	37	3	0	10	14	15
	38	3	0	10	14	19
	39	2.5	0	10	15	15p
	40	2.5	0	10	15p	10
	41	2	0	10	16	21
	42	5	0	10	17	12
	43	1	0	10	17	16
	44	3	0	10	18	13
	45	2	0	10	18	17
	46	8	0	10	18	23
	47	3	0	10	19	18
	48	1	0	10	19	19p
	49	1	0	10	19p	24
	50	7	0	10	20	15
	51	2	0	10	20	19
	52	1	0	10	21	22
	53	7	0	10	22	17
	54	1	0	10	22	21
	55	2	0	10	22	23
	56	2	0	10	23	18
	57	0.5	0	10	23	23p
	58	2	0	10	23	24
	59	0.5	0	10	23p	22
	60	3	0	10	24	23
	61	3	0	10	24	25
	62	8	0	10	25	20
	63	5	0	10	25	24;

param: NODES: b:=
1	 1
2	 0
3	 0
3p  -1
4	 0
5	-1
5p   0
6	 0
6p  -1
7	 0
8	 0
9	 0
10	 0
11	 0
12	 0
12p  0
13	-1
14	 0
15	 0
15p  0
16	 0
17	 0
18	 1
19	 0
19p  0
20	 0
21	 0
22	 0
23	 0
23p -1
24  -1
25   0
26	 0
27	 0;
