param number_of_crews := 2;

param: ARCS:	c	lb	ub	i	j:=
	1	2	0	100	1	2
	2	2	0	100	1	6
	3	2	0	100	2	1
	4	3	0	100	2	3
	5	2	0	100	3	4
	6	1	0	100	3	3p
	7	3	0	100	3	8
	8	1	0	100	3p	2
	9	1	0	100	4	5
	10	3	0	100	4	3
	11	2	0	100	4	9
	12	1	0	100	5	5p
	13	1	0	100	5p	4
	14	1	0	100	6	7
	15	0.5	0	100	6	6p
	16	0.5	0	100	6p	11
	17	1	0	100	7	6
	18	2	0	100	7	8
	19	1	0	100	7	2
	20	2	0	100	8	3
	21	4	0	100	8	9
	22	2	0	100	8	7
	23	4	0	100 8   13
	24	2	0	100	9	8
	25	1	0	100	9	10
	26	1	0	100	9	14
	27	4	0	100	10	9
	28	4	0	100	10	5
	29	2	0	100	11	12
	30	3	0	100	11	16
	31	1.5	0	100	12	12p
	32	4	0	100	12	13
	33  1.5	0	100	12p	7
	34	6	0	100	13	8
	35	1	0	100	13	14
	36	7	0	100	13	18
	37	3	0	100	14	15
	38	3	0	100	14	19
	39	2.5	0	100	15	15p
	40	2.5	0	100	15p	10
	41	2	0	100	16	21
	42	5	0	100	17	12
	43	1	0	100	17	16
	44	3	0	100	18	13
	45	2	0	100	18	17
	46	8	0	100	18	23
	47	3	0	100	19	18
	48	1	0	100	19	19p
	49	1	0	100	19p	24
	50	7	0	100	20	15
	51	2	0	100	20	19
	52	1	0	100	21	22
	53	7	0	100	22	17
	54	1	0	100	22	21
	55	2	0	100	22	23
	56	2	0	100	23	18
	57	0.5	0	100	23	23p
	58	2	0	100	23	24
	59	0.5	0	100	23p	22
	60	3	0	100	24	23
	61	3	0	100	24	25
	62	8	0	100	25	20
	63	5	0	100	25	24;

param: NODES: demand:=
1	 0
2	 0
3	 0
3p   -1
4	 0
5	 -1
5p   0
6	 0
6p   -1
7	 0
8	 0
9	 0
10	 0
11	 0
12	 0
12p  0
13	 -1
14	 0
15	 0
15p  0
16	 0
17	 0
18	 0
19	 0
19p  0
20	 0
21	 0
22	 0
23	 0
23p  -1
24   -1
25   0
26	 0
27	 0;
